id;polos;contato;email;num_vagas_eixo;total_vagas
1;Adamantina;(18) 3522-4600;adamantina@polo.univesp.br;10;30
2;Aguaí ;(19) 3653 7100;aguai@polo.univesp.br;10;30
3;Agudos;(14) 3262-0763;agudos@polo.univesp.br;10;30
4;Alambari;(15) 3274-1474;alambari@polo.univesp.br;NA;NA
5;Altinópolis;(16) 3665-9645;altinopolis@polo.univesp.br;10;30
6;Alumínio;(11) 4715-1546;aluminio@polo.univesp.br;10;30
7;Álvares Machado;(18) 3273-0236;alvaresmachado@polo.univesp.br;10;30
8;Alvinlândia;NA;alvinlandia@polo.univesp.br;10;30
9;Americana;(19) 3478-5834 ;americana@polo.univesp.br;80;240
10;Américo Brasiliense;(16) 3392-3583;americobrasiliense@polo.univesp.br;10;30
11;Amparo;(19) 3807-4975;amparo@polo.univesp.br;25;75
12;Analândia;(19) 3566-1575;analandia@polo.univesp.br;NA;NA
13;Andradina;(18) 3722-1888;andradina@polo.univesp.br;20;60
14;Anhembi ;(14) 3884 -1409;anhembi@polo.univesp.br;10;30
15;Aparecida;(12) 3105-1244;aparecida@polo.univesp.br;10;30
16;Apiaí;(15) 3552-4269;apiai@polo.univesp.br;10;30
17;Araçariguama;(11) 4136-4928;aracariguama@polo.univesp.br;10;30
18;Araçatuba;(18) 3625-7733;aracatuba.prefeitura@polo.univesp.br;70;210
19;Araçoiaba da Serra;(15) 3281-1146;aracoiabadaserra@polo.univesp.br;10;30
20;Arandu;(14) 3766-1344 ;arandu@polo.univesp.br;10;30
21;Araraquara;(16) 3336-5538;araraquara@polo.univesp.br;80;240
22;Araras;(19) 3547-9696;araras@polo.univesp.br;40;120
23;Arealva;(14) 3296-1165;arealva@polo.univesp.br;10;30
24;Areias;(12) 3107-1136 ;areias@polo.univesp.br;10;30
25;Areiópolis;NA;areiopolis@polo.univesp.br;10;30
26;Artur Nogueira;(19) 3827-9700;arturnogueira@polo.univesp.br;20;60
27;Arujá;(11) 4652-1619;aruja@polo.univesp.br;30;90
28;Assis;(18) 3302-1055;assis@polo.univesp.br;NA;NA
29;Atibaia;(11) 4412-7011;atibaia@polo.univesp.br;50;150
30;Avaré;(14) 3731-7244;avare@polo.univesp.br;30;90
31;Bady Bassitt;(17) 3258-1814 ;badybassit@polo.univesp.br;10;30
32;Bálsamo;NA;balsamo@polo.univesp.br;10;30
33;Bananal;(12) 3116-5288;bananal@polo.univesp.br;10;30
34;Barbosa;(18) 3655-1464;barbosa@polo.univesp.br;10;30
35;Bariri;(14) 3662-8774;bariri@polo.univesp.br;10;30
36;Barra Bonita;(14) 3641-0627;barrabonita@polo.univesp.br;10;30
37;Barretos;(17) 3322-8184;barretos@polo.univesp.br;40;120
38;Barrinha;NA;barrinha@polo.univesp.br;10;30
39;Barueri;(11) 2078-7811 ;barueri@polo.univesp.br;NA;NA
40;Barão de Antonina;(15) 3573-1144;baraodeantonina@polo.univesp.br;NA;NA
41;Bastos;(14) 98190-6257;bastos@polo.univesp.br;10;30
42;Bauru;(14) 3214-1723;bauru@polo.univesp.br;100;300
43;Bernardino de Campos;(14) 3346-1278;bernardinodecampos@polo.univesp.br;10;30
44;Bertioga;(13) 3317-4685;bertioga@polo.univesp.br;20;60
45;Boa Esperança do Sul;(16) 3326-4045;boaesperancadosul@polo.univesp.br;10;30
46;Bocaina;(14) 3666-3701;bocaina@polo.univesp.br;10;30
47;Bofete;(14) 3883-1737;bofete@polo.univesp.br;10;30
48;Boituva;(15) 99709-7691;boituva@polo.univesp.br;10;30
